"Name","Author","AVG_Rating","AVG_Reviews","AVG_Price","Years_Count","Years_List","Genre"
"10-Day Green Smoothie Cleanse","JJ Smith","4.699999809265137","17350.0000","8","1","2016","Non Fiction"
"11/22/63: A Novel","Stephen King","4.599999904632568","2052.0000","22","1","2011","Fiction"
"12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson","4.699999809265137","18979.0000","15","1","2018","Non Fiction"
"1984 (Signet Classics)","George Orwell","4.699999809265137","21424.0000","6","1","2017","Fiction"
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)","National Geographic Kids","4.800000190734863","7665.0000","12","1","2019","Non Fiction"
"A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin","4.400000095367432","12643.0000","11","1","2011","Fiction"
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","George R. R. Martin","4.699999809265137","19735.0000","30","1","2014","Fiction"
"A Gentleman in Moscow: A Novel","Amor Towles","4.699999809265137","19699.0000","15","1","2017","Fiction"
"A Higher Loyalty: Truth, Lies, and Leadership","James Comey","4.699999809265137","5983.0000","3","1","2018","Non Fiction"
"A Man Called Ove: A Novel","Fredrik Backman","4.599999904632568","23848.0000","8","2","2016,2017","Fiction"
"A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror","Larry Schweikart","4.599999904632568","460.0000","2","1","2010","Non Fiction"
"A Stolen Life: A Memoir","Jaycee Dugard","4.599999904632568","4149.0000","32","1","2011","Non Fiction"
"A Wrinkle in Time (Time Quintet)","Madeleine L'Engle","4.5","5153.0000","5","1","2018","Fiction"
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","Steve Harvey","4.599999904632568","5013.0000","17","1","2009","Non Fiction"
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns","Adult Coloring Book Designs","4.5","2313.0000","4","1","2016","Non Fiction"
"Adult Coloring Book: Stress Relieving Animal Designs","Blue Star Coloring","4.599999904632568","2925.0000","6","1","2015","Non Fiction"
"Adult Coloring Book: Stress Relieving Patterns","Blue Star Coloring","4.400000095367432","2951.0000","6","1","2015","Non Fiction"
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…","Coloring Books for Adults","4.5","2426.0000","8","1","2015","Non Fiction"
"Alexander Hamilton","Ron Chernow","4.800000190734863","9198.0000","13","1","2016","Non Fiction"
"All the Light We Cannot See","Anthony Doerr","4.599999904632568","36348.0000","14","2","2014,2015","Fiction"
"Allegiant","Veronica Roth","3.9000000953674316","6310.0000","13","1","2013","Fiction"
"American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History","Chris Kyle","4.599999904632568","15921.0000","9","1","2015","Non Fiction"
"And the Mountains Echoed","Khaled Hosseini","4.300000190734863","12159.0000","13","1","2013","Fiction"
"Arguing with Idiots: How to Stop Small Minds and Big Government","Glenn Beck","4.599999904632568","798.0000","5","1","2009","Non Fiction"
"Astrophysics for People in a Hurry","Neil deGrasse Tyson","4.699999809265137","9374.0000","9","1","2017","Non Fiction"
"Autobiography of Mark Twain, Vol. 1","Mark Twain","4.199999809265137","491.0000","14","1","2010","Non Fiction"
"Baby Touch and Feel: Animals","DK","4.599999904632568","5360.0000","5","1","2015","Non Fiction"
"Balance (Angie's Extreme Stress Menders)","Angie Grace","4.599999904632568","1909.0000","11","1","2015","Non Fiction"
"Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook","Ina Garten","4.800000190734863","1296.0000","24","1","2012","Non Fiction"
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips","Ina Garten","4.699999809265137","615.0000","21","1","2010","Non Fiction"
"Becoming","Michelle Obama","4.800000190734863","61133.0000","11","2","2018,2019","Non Fiction"
"Being Mortal: Medicine and What Matters in the End","Atul Gawande","4.800000190734863","11113.0000","15","1","2015","Non Fiction"
"Between the World and Me","Ta-Nehisi Coates","4.699999809265137","10070.0000","13","2","2015,2016","Non Fiction"
"Born to Run","Bruce Springsteen","4.699999809265137","3729.0000","18","1","2016","Non Fiction"
"Breaking Dawn (The Twilight Saga, Book 4)","Stephenie Meyer","4.599999904632568","9769.0000","13","1","2009","Fiction"
"Broke: The Plan to Restore Our Trust, Truth and Treasure","Glenn Beck","4.5","471.0000","8","1","2010","Non Fiction"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","4.900000095367432","14344.0000","5","2","2017,2019","Fiction"
"Cabin Fever (Diary of a Wimpy Kid, Book 6)","Jeff Kinney","4.800000190734863","4505.0000","0","1","2011","Fiction"
"Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series)","Sasha O'Hara","4.599999904632568","10369.0000","4","1","2016","Non Fiction"
"Can't Hurt Me: Master Your Mind and Defy the Odds","David Goggins","4.800000190734863","16244.0000","18","1","2019","Non Fiction"
"Capital in the Twenty First Century","Thomas Piketty","4.5","2884.0000","28","1","2014","Non Fiction"
"Catching Fire (The Hunger Games)","Suzanne Collins","4.699999809265137","22614.0000","11","3","2010,2011,2012","Fiction"
"Cravings: Recipes for All the Food You Want to Eat: A Cookbook","Chrissy Teigen","4.699999809265137","4761.0000","16","1","2016","Non Fiction"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","4.699999809265137","1542.0000","14","3","2009,2010,2011","Non Fiction"
"Crazy Rich Asians (Crazy Rich Asians Trilogy)","Kevin Kwan","4.300000190734863","6143.0000","8","1","2018","Fiction"
"Creative Haven Creative Cats Coloring Book (Adult Coloring)","Marjorie Sarnat","4.800000190734863","4022.0000","4","1","2015","Non Fiction"
"Creative Haven Owls Coloring Book (Adult Coloring)","Marjorie Sarnat","4.800000190734863","3871.0000","5","1","2015","Non Fiction"
"Cutting for Stone","Abraham Verghese","4.599999904632568","4866.0000","11","2","2010,2011","Fiction"
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","Brené Brown","4.800000190734863","1329.0000","10","1","2013","Non Fiction"
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants","Malcolm Gladwell","4.400000095367432","4642.0000","13","1","2013","Non Fiction"
"Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood)","Charlaine Harris","4.599999904632568","1541.0000","4","1","2009","Fiction"
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","Charlaine Harris","4.300000190734863","1924.0000","8","1","2010","Fiction"
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)","Charlaine Harris","4.199999809265137","2094.0000","4","1","2011","Fiction"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","4.800000190734863","10922.0000","5","4","2015,2016,2017,2018","Fiction"
"Decision Points","George W. Bush","4.599999904632568","2137.0000","17","1","2010","Non Fiction"
"Delivering Happiness: A Path to Profits, Passion, and Purpose","Tony Hsieh","4.599999904632568","1651.0000","15","1","2010","Non Fiction"
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","American Psychiatric Association","4.5","6679.0000","105","2","2013,2014","Non Fiction"
"Diary of a Wimpy Kid: Hard Luck, Book 8","Jeff Kinney","4.800000190734863","6812.0000","0","1","2013","Fiction"
"Diary of a Wimpy Kid: The Last Straw (Book 3)","Jeff Kinney","4.800000190734863","3837.0000","15","1","2009","Fiction"
"Diary of a Wimpy Kid: The Long Haul","Jeff Kinney","4.800000190734863","6540.0000","22","1","2014","Fiction"
"Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids)","M Prefontaine","4.599999904632568","7955.0000","5","1","2019","Non Fiction"
"Divergent","Veronica Roth","4.599999904632568","27098.0000","15","2","2013,2014","Fiction"
"Divergent / Insurgent","Veronica Roth","4.5","17684.0000","6","1","2014","Fiction"
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…","Zhi Gang Sha","4.599999904632568","37.0000","6","1","2009","Non Fiction"
"Doctor Sleep: A Novel","Stephen King","4.699999809265137","15845.0000","13","1","2013","Fiction"
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","Jeff Kinney","4.800000190734863","3181.0000","12","1","2009","Fiction"
"Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)","Dav Pilkey","4.900000095367432","5062.0000","6","1","2018","Fiction"
"Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)","Dav Pilkey","4.900000095367432","4786.0000","8","1","2017","Fiction"
"Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)","Dav Pilkey","4.900000095367432","7235.0000","4","2","2018,2019","Fiction"
"Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8)","Dav Pilkey","4.900000095367432","12619.0000","8","1","2019","Fiction"
"Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)","Dav Pilkey","4.900000095367432","9089.0000","8","1","2019","Fiction"
"Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5)","Dav Pilkey","4.900000095367432","5470.0000","6","1","2018","Fiction"
"Double Down (Diary of a Wimpy Kid #11)","Jeff Kinney","4.800000190734863","5118.0000","20","1","2016","Fiction"
"Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books)","Marty Noble","4.599999904632568","2134.0000","5","1","2015","Non Fiction"
