"Name","Author","Year","Price","User_Rating","Reviews","Genre"
"10-Day Green Smoothie Cleanse","JJ Smith","2016","8","4.7","17350","Non Fiction"
"11/22/63: A Novel","Stephen King","2011","22","4.6","2052","Fiction"
"12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson","2018","15","4.7","18979","Non Fiction"
"1984 (Signet Classics)","George Orwell","2017","6","4.7","21424","Fiction"
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)","National Geographic Kids","2019","12","4.8","7665","Non Fiction"
"A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin","2011","11","4.4","12643","Fiction"
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","George R. R. Martin","2014","30","4.7","19735","Fiction"
"A Gentleman in Moscow: A Novel","Amor Towles","2017","15","4.7","19699","Fiction"
"A Higher Loyalty: Truth, Lies, and Leadership","James Comey","2018","3","4.7","5983","Non Fiction"
"A Man Called Ove: A Novel","Fredrik Backman","2016","8","4.6","23848","Fiction"
"A Man Called Ove: A Novel","Fredrik Backman","2017","8","4.6","23848","Fiction"
"A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror","Larry Schweikart","2010","2","4.6","460","Non Fiction"
"A Stolen Life: A Memoir","Jaycee Dugard","2011","32","4.6","4149","Non Fiction"
"A Wrinkle in Time (Time Quintet)","Madeleine L'Engle","2018","5","4.5","5153","Fiction"
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","Steve Harvey","2009","17","4.6","5013","Non Fiction"
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns","Adult Coloring Book Designs","2016","4","4.5","2313","Non Fiction"
"Adult Coloring Book: Stress Relieving Animal Designs","Blue Star Coloring","2015","6","4.6","2925","Non Fiction"
"Adult Coloring Book: Stress Relieving Patterns","Blue Star Coloring","2015","6","4.4","2951","Non Fiction"
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…","Coloring Books for Adults","2015","8","4.5","2426","Non Fiction"
"Alexander Hamilton","Ron Chernow","2016","13","4.8","9198","Non Fiction"
"All the Light We Cannot See","Anthony Doerr","2014","14","4.6","36348","Fiction"
"All the Light We Cannot See","Anthony Doerr","2015","14","4.6","36348","Fiction"
"Allegiant","Veronica Roth","2013","13","3.9","6310","Fiction"
"American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History","Chris Kyle","2015","9","4.6","15921","Non Fiction"
"And the Mountains Echoed","Khaled Hosseini","2013","13","4.3","12159","Fiction"
"Arguing with Idiots: How to Stop Small Minds and Big Government","Glenn Beck","2009","5","4.6","798","Non Fiction"
"Astrophysics for People in a Hurry","Neil deGrasse Tyson","2017","9","4.7","9374","Non Fiction"
"Autobiography of Mark Twain, Vol. 1","Mark Twain","2010","14","4.2","491","Non Fiction"
"Baby Touch and Feel: Animals","DK","2015","5","4.6","5360","Non Fiction"
"Balance (Angie's Extreme Stress Menders)","Angie Grace","2015","11","4.6","1909","Non Fiction"
"Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook","Ina Garten","2012","24","4.8","1296","Non Fiction"
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips","Ina Garten","2010","21","4.7","615","Non Fiction"
"Becoming","Michelle Obama","2018","11","4.8","61133","Non Fiction"
"Becoming","Michelle Obama","2019","11","4.8","61133","Non Fiction"
"Being Mortal: Medicine and What Matters in the End","Atul Gawande","2015","15","4.8","11113","Non Fiction"
"Between the World and Me","Ta-Nehisi Coates","2015","13","4.7","10070","Non Fiction"
"Between the World and Me","Ta-Nehisi Coates","2016","13","4.7","10070","Non Fiction"
"Born to Run","Bruce Springsteen","2016","18","4.7","3729","Non Fiction"
"Breaking Dawn (The Twilight Saga, Book 4)","Stephenie Meyer","2009","13","4.6","9769","Fiction"
"Broke: The Plan to Restore Our Trust, Truth and Treasure","Glenn Beck","2010","8","4.5","471","Non Fiction"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","2017","5","4.9","14344","Fiction"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","2019","5","4.9","14344","Fiction"
"Cabin Fever (Diary of a Wimpy Kid, Book 6)","Jeff Kinney","2011","0","4.8","4505","Fiction"
"Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series)","Sasha O'Hara","2016","4","4.6","10369","Non Fiction"
"Can't Hurt Me: Master Your Mind and Defy the Odds","David Goggins","2019","18","4.8","16244","Non Fiction"
"Capital in the Twenty First Century","Thomas Piketty","2014","28","4.5","2884","Non Fiction"
"Catching Fire (The Hunger Games)","Suzanne Collins","2010","11","4.7","22614","Fiction"
